ts_s,ang1,ang2,ang3,ang1_filtered,ang2_filtered,ang3_filtered,ang_principal,ang_principal_filtered
0.0,-90.9666,-23.48756,-118.27597,-45.459362302022214,-11.70236205452662,-59.07038800976428,0.6747782737688516,0.6275863135719891
0.0014401534432518166,-90.9666,-23.48756,-118.27597,-45.79528842748347,-11.792624084046917,-59.5053060909451,0.6747782737688516,0.6314771417587869
0.002880306886503633,-90.9666,-23.48756,-118.27597,-46.13121455294472,-11.882886113567212,-59.9402241721259,0.6747782737688516,0.6353679699455845
0.0043204603297554494,-90.9666,-23.48756,-118.27597,-46.467140678405976,-11.973148143087506,-60.37514225330672,0.6747782737688516,0.6392587981323824
0.005760613773007266,-90.9666,-23.48756,-118.27597,-46.80306680386723,-12.063410172607803,-60.810060334487524,0.6747782737688516,0.64314962631918
0.007200767216259083,-91.18567,-23.50752,-118.8014,-47.1388112776916,-12.15407488466059,-61.244243713801026,0.1485008966418757,0.6477614112028318
0.008640920659510899,-91.18567,-23.50752,-118.8014,-47.4741528275071,-12.245632792409667,-61.67679744073829,0.1485008966418757,0.6539723601099579
0.010081074102762716,-91.18567,-23.50752,-118.8014,-47.80949437732259,-12.337190700158745,-62.10935116767557,0.1485008966418757,0.6601833090170841
0.011521227546014532,-91.18567,-23.50752,-118.8014,-48.14483592713809,-12.428748607907822,-62.541904894612834,0.1485008966418757,0.6663942579242104
0.01296138098926635,-91.18567,-23.50752,-118.8014,-48.48017747695359,-12.5203065156569,-62.9744586215501,0.1485008966418757,0.6726052068313364
0.014401534432518166,-91.18567,-23.50752,-118.8014,-48.815519026769095,-12.611864423405976,-63.40701234848737,0.1485008966418757,0.6788161557384627
0.01584168787576998,-91.18567,-23.50752,-118.8014,-49.15086057658459,-12.703422331155053,-63.83956607542464,0.1485008966418757,0.6850271046455888
0.017281841319021798,-91.18567,-23.50752,-118.8014,-49.48620212640009,-12.794980238904131,-64.27211980236191,0.1485008966418757,0.691238053552715
0.018721994762273615,-91.18567,-23.50752,-118.8014,-49.82154367621558,-12.886538146653209,-64.70467352929919,0.1485008966418757,0.6974490024598412
0.02016214820552543,-91.18567,-23.50752,-118.8014,-50.15688522603108,-12.978096054402286,-65.13722725623644,0.1485008966418757,0.7036599513669672
0.021602301648777248,-91.18567,-23.50752,-118.8014,-50.492226775846575,-13.069653962151364,-65.56978098317371,0.1485008966418757,0.7098709002740935
0.023042455092029065,-91.14689788720446,-23.4349308355649,-118.76424139297703,-50.828444417568505,-13.16224026609493,-66.0036119584511,0.18819316570769248,0.7147684360528179
0.02448260853528088,-90.27242,-21.797733,-117.926155,-51.16567748029914,-13.25601851701744,-66.43892330900461,1.0834245340383761,0.7181436803072323
